ISIN,Modified Duration,Maturity Date,Issuer Name,Bond Liquidity Score,Yield to Maturity,COUPN_RATE,Yield to Worst,Is Callable,Call Date,Yield to Call,Issue Date,Amount Outstanding
US105756BZ27,1.638,13/01/2028,"BRAZIL, FEDERATIVE REPUBLIC OF (GOVERNMENT)",6,4.295907,4.625,4.254485,Y,13/10/2027,4.254485,13/10/2017,3000000000
US105756CA66,3.0961,30/05/2029,"BRAZIL, FEDERATIVE REPUBLIC OF (GOVERNMENT)",6,4.619517,4.5,4.619517,Y,28/02/2029,4.630505,28/03/2019,1500000000
US105756CC23,3.9898,12/06/2030,"BRAZIL, FEDERATIVE REPUBLIC OF (GOVERNMENT)",6,4.957444,3.875,4.957444,N,,,10/06/2020,2250000000
US105756CM05,4.1646,6/11/2030,"BRAZIL, FEDERATIVE REPUBLIC OF (GOVERNMENT)",7,5.142536,5.5,5.142536,N,,,11/06/2025,1500000000
US105756CG37,4.3373,18/03/2031,"BRAZIL, FEDERATIVE REPUBLIC OF (GOVERNMENT)",6,5.299433,6.25,5.299433,N,,,20/11/2023,2000000000
US105756CE88,4.9442,12/09/2031,"BRAZIL, FEDERATIVE REPUBLIC OF (GOVERNMENT)",5,5.271346,3.75,5.271346,N,,,7/07/2021,1500000000
US105756CK49,4.8817,22/01/2032,"BRAZIL, FEDERATIVE REPUBLIC OF (GOVERNMENT)",6,5.532488,6.125,5.532488,N,,,27/06/2024,2000000000
US105756CF53,6.0829,20/10/2033,"BRAZIL, FEDERATIVE REPUBLIC OF (GOVERNMENT)",6,5.855703,6,5.855703,N,,,13/04/2023,2250000000
US105756CH10,6.2589,15/03/2034,"BRAZIL, FEDERATIVE REPUBLIC OF (GOVERNMENT)",6,5.985697,6.125,5.985697,N,,,29/01/2024,2250000000
US105756CL22,6.7121,15/03/2035,"BRAZIL, FEDERATIVE REPUBLIC OF (GOVERNMENT)",6,6.242457,6.625,6.242457,N,,,25/02/2025,2500000000
US105756BR01,9.8089,7/01/2041,"BRAZIL, FEDERATIVE REPUBLIC OF (GOVERNMENT)",5,6.356091,5.625,6.356091,N,,,7/10/2009,1275000000
